"","x"
"alpha_Aspiration",0.202141066832333
"beta_Aspiration",0.208104031713467
"delta_Aspiration",0.121989051462204
"epsilon_Aspiration",-0.535767755408442
"gamma_Aspiration",0.488517612893084
"epsilon_Below.mean.Semivariance",0.0702212716666208
"kappa_Below.mean.Semivariance",-0.284037192325963
"epsilon_Certainty.Equivalence",0.43144958868104
"epsilon_CoefVar",0.319904127612158
"kappa_CoefVar",-0.380936038659607
"delta_CPT.LBW",0.190507019943437
"epsilon_CPT.LBW",-0.849292344840957
"gamma_CPT.LBW",0.753070709633913
"tau_CPT.LBW",0.0247376111465463
"beta_CPT.Prelec",0.100629179000524
"epsilon_CPT.Prelec",-0.703706538527788
"gamma_CPT.Prelec",0.613999644859906
"tau_CPT.Prelec",0.0365607949317709
"epsilon_CPT.TK",-0.890358994783629
"gamma_CPT.TK",0.788845286761973
"tau_CPT.TK",0.0826799236406418
"epsilon_DFT",0.000945065765134934
"gamma_DFT",0.428554839072989
"epsilon_Disappointment.Bell",0.147966905573209
"nu_Disappointment.Bell",0.283542289243807
"alpha_Disappointment.DC1",0.17842925231543
"beta_Disappointment.DC1",0.00924950123514101
"epsilon_Disappointment.DC1",0.159917335869133
"kappa_Disappointment.DC1",0.0033408827328437
"lambda_Disappointment.DC1",0.110255549626364
"alpha_Disappointment.DC2",-0.0427401221375265
"beta_Disappointment.DC2",-0.0161972652213874
"epsilon_Disappointment.DC2",-0.606205333412342
"gamma_Disappointment.DC2",0.499069052688063
"kappa_Disappointment.DC2",0.0240364532973043
"lambda_Disappointment.DC2",0.0425670507006878
"alpha_Disappointment.LS1",0.148387133902604
"epsilon_Disappointment.LS1",0.328306187308263
"kappa_Disappointment.LS1",0.188295397245594
"alpha_Disappointment.LS2",-0.138242732824009
"epsilon_Disappointment.LS2",-0.712360525343778
"gamma_Disappointment.LS2",0.64136749382322
"kappa_Disappointment.LS2",0.192472237162839
"epsilon_Distracted.DFT",-0.0903258533462428
"gamma_Distracted.DFT",0.577193895104726
"mu_Distracted.DFT",-0.114473032217343
"epsilon_Dual.1",0.159138896668001
"epsilon_Dual.2",0.0505899139141811
"epsilon_Dual.System.LOB",-0.793206756484679
"gamma_Dual.System.LOB",0.778824222292649
"kappa_Dual.System.LOB",-0.282973864351131
"mu_Dual.System.LOB",-0.00359167360022579
"epsilon_Dual.System.M",-0.597330586166929
"gamma_Dual.System.M",0.668224510091148
"mu_Dual.System.M",-0.452186969604083
"epsilon_EUT",-0.701631716185731
"gamma_EUT",0.682777630398684
"epsilon_EV",0.300942009731964
"omega_Heuristic.BTA",0.255318394695284
"omega_Heuristic.CC",0.512102195155566
"omega_Heuristic.EP",0.338261860411084
"omega_Heuristic.LEPE",0.105871615525334
"omega_Heuristic.LL",-0.571163938289843
"omega_Heuristic.LPE",0.398353257107738
"omega_Heuristic.Minimax.Regret",0.33935335988095
"omega_Heuristic.Minimax",-0.265666465255455
"omega_Heuristic.ML",-0.193604927834549
"omega_Heuristic.MPW",0.00162538579573223
